# setup ID, motion table, sound table, combat table
020009C6,,20000014,
02000ED7,,20000014,
020009CC,,20000014,
020009CF,,20000014,
020004C1,,20000014,
020009F0,,20000014,
020009E7,,20000014,
020009E5,,20000014,
02000EDF,,20000014,
02000A12,,,
02000A7B,,20000014,
02000EF3,,20000014,
02000A3A,,20000014,
02000B31,,20000014,
02000AE7,,20000014,
02000B29,,20000014,
02000AF0,,20000014,
02000B0A,,,
02000B07,,,
02000B0D,,,
02000B5A,,20000014,
02000B69,,20000014,
02000B6A,,20000014,
02000B78,,20000014,
02000B79,,20000014,
02000B7A,,20000014,
02000B7B,,20000014,
02000B7C,,20000014,
02000B7E,,20000014,
02000CE3,,20000014,
02000D15,,20000014,
02000D16,,20000014,
02000D1C,,20000014,
02000D1D,,20000014,
02000D1A,,20000014,
02000D1B,,20000014,
02000D17,,20000014,
02000D18,,20000014,
02000DCB,,20000014,
02000DD0,,20000014,
02000D75,,20000014,
02000EC9,,20000014,
02000EC3,,20000014,
02000F1C,,20000014,
02000FAA,,20000014,
02000FE4,,20000014,
02001026,,20000014,
0200101E,,20000014,
0200102C,,,
0200103E,,20000014,
02001044,,20000014,
02001072,,20000014,
02001073,,20000014,
02001092,,20000014,
0200108E,,20000014,
02001096,,20000014,
020010D8,,20000014,
020010D9,,20000014,
020010DA,,20000014,
0200110A,,,
0200110B,,,
0200110C,,,
020011F0,,20000014,
020011EF,,20000014,
020011EE,,20000014,
020011ED,,20000014,
020011EC,,20000014,
020011EB,,20000014,
020011EA,,20000014,
02001112,,20000014,
02001156,,20000014,
02001191,,20000014,
020012BD,,20000014,
020012BF,,20000014,
020012BE,,20000014,
020012BC,,20000014,
020012BB,,20000014,
020012C0,,20000014,
020012C1,,20000014,
02001247,,20000014,
0200120F,,20000014,
020012D5,,20000014,
020012EF,,20000014,
02000419,,,
02000403,,,
02000379,,,
020003C5,,,
0200043B,,,
020003E4,,,
020004B0,,,
0200047B,,,
0200007C,09000004,20000021,
020000CE,09000024,20000026,
02000A09,090000B1,2000006F,
02000A23,09000004,20000021,
02000B26,09000128,,
02000B37,090000C1,20000082,
02000B36,090000C2,20000082,
02000A97,09000004,20000021,
02000BF1,090000D2,20000089,
02000E4F,09000004,20000021,
02000A7F,09000004,20000021,
02000F34,09000123,20000021,
02000F30,09000123,20000021,
02000F7A,09000004,20000021,
02000FA1,0900012F,20000021,
02001093,0900012F,20000026,
0200109D,09000004,20000021,
020010A4,0900015D,20000026,
020010D7,0900012F,2000004F,
02001149,09000004,20000021,
020012E4,09000185,20000026,
02000268,,20000014,
020000D1,,20000014,
020000D2,,20000014,
020000D3,,20000014,
020000D4,,20000014,
020001A6,,20000014,
020000D8,,20000014,
02000330,,20000014,
020000DA,,20000014,
020000D9,,20000014,
020000DC,,20000014,
020001A8,,20000014,
020001C3,,20000014,
020000DF,,20000014,
020000DE,,20000014,
020000E0,,20000014,
020000D0,,20000014,
020000FD,,20000014,
02000F0F,,20000014,
02000978,,20000014,
020008CB,,20000014,
02000956,,20000014,
02000957,,20000014,
02000958,,20000014,
02000959,,20000014,
0200095A,,20000014,
0200095B,,20000014,
0200097C,,20000014,
0200097D,,20000014,
0200097E,,20000014,
02000977,,20000014,
02000993,,20000014,
020009CE,,20000014,
020009CD,,20000014,
02000A00,,20000014,
02000A0A,,20000014,
02000A19,,20000014,
02000F3E,,20000014,
02000B28,,20000014,
02000B58,,20000014,
02000B74,,20000014,
02000B71,,20000014,
02000B72,,20000014,
02000B75,,20000014,
02000B73,,20000014,
02000B88,,20000014,
02000B89,,20000014,
02000B8A,,20000014,
02000C05,,20000014,
02000D7C,,20000014,
02000DEB,,20000014,
02000DBC,,20000014,
02000E09,,20000014,
02000E41,,20000014,
02000E42,,20000014,
02000E43,,20000014,
02000E0A,,20000014,
02000E06,,20000014,
02000E85,,20000014,
02000F07,,20000014,
02000ECF,,20000014,
02000EFA,,20000014,
02000F93,,20000014,
02000F8F,,20000014,
02000F98,,20000014,
02000FA8,,20000014,
02000FAD,,20000014,
02000FAF,,20000014,
02000FB0,,20000014,
02000FAE,,20000014,
02000FDF,,20000014,
02000FDD,,20000014,
02000FDE,,20000014,
02000FDC,,20000014,
02001031,,20000014,
0200102D,,20000014,
0200103F,,20000014,
02001097,,20000014,
020010D6,,20000014,
0200090F,,,
02001130,,20000014,
02001131,,20000014,
02000179,,20000014,
020011D3,,20000014,
020011D2,,20000014,
020011E6,,20000014,
020011D1,,20000014,
020011E7,,20000014,
020011E8,,20000014,
02001228,,20000014,
0200122A,,20000014,
02000210,,20000014,
020012AB,,20000014,
020012B9,,20000014,
020012B8,,20000014,
020000DD,,20000014,
020001A7,,20000014,
020004BD,,20000014,
020006D6,,20000014,
0200070B,,20000014,
0200070C,,20000014,
0200070D,,20000014,
02000A2A,,20000014,
02000A2C,,20000014,
02000A2B,,20000014,
02000A2D,,20000014,
02000BBB,,,
02000E01,,20000014,
02000DF3,,20000014,
02000DF8,,20000014,
02000DFD,,20000014,
02000E83,,20000014,
02000E84,,20000014,
02000F61,,20000014,
02000F63,,20000014,
02000F62,,20000014,
02001161,,20000014,
020011E4,,20000014,
020011DE,,20000014,
020011D9,,20000014,
020011E9,,20000014,
02000B77,,,
02000151,,20000014,
020001EF,,20000014,
02000152,,20000014,
02000189,,20000014,
02000181,,20000014,
02000183,,20000014,
02000848,,20000005,
0200037A,,20000014,
02000889,,20000014,
0200088A,,20000014,
0200088B,,20000014,
0200037B,,20000014,
02000117,,20000014,
02000710,,20000014,
020008F1,,20000014,
020008F0,,20000014,
020008F2,,20000014,
020008ED,,20000014,
020008EF,,20000014,
020008EE,,20000014,
020009CA,,20000014,
0200096C,,20000014,
020009D6,,20000014,
020003CD,,20000014,
02000CD8,,20000014,
02000FE0,,20000014,
0200037C,09000001,,
02000F9C,,,
02000F9D,,,
02000F9E,,,
02000F45,,,
02000F9F,,,
02000FA0,,,
02000006,0900000D,20000006,30000006
0200002E,09000019,20000004,30000007
02000314,09000019,20000004,30000007
02000EAB,0900000D,20000097,30000006
020005FD,,20000014,
020005FB,,20000014,
020005FF,,20000014,
020005FE,,20000014,
020004DD,,20000014,
02000604,,20000014,
020000AB,,20000014,
02000A25,,20000014,
0200016F,,20000014,
02000600,,20000014,
02000601,,20000014,
02000602,,20000014,
02000603,,20000014,
02000606,,20000014,
02000608,,20000014,
02000609,,20000014,
02000139,,20000014,
02000641,,20000014,
0200060C,,20000014,
0200013D,,20000014,
0200010A,,20000014,
02000308,,20000014,
0200070A,,20000014,
020008C7,,20000014,
020008C9,,20000014,
020008C6,,20000014,
020000AA,,20000014,
020006FF,,20000014,
02000911,,20000014,
02000976,,20000014,
02000BC2,,20000014,
02000BFA,,20000014,
020002F9,,20000014,
02000BF9,,20000014,
02000BFD,,20000014,
02000C74,,20000014,
020000EC,,20000014,
020005F6,,20000014,
020007B9,,20000014,
0200090D,,20000014,
020009F9,,20000014,
020009F7,,20000014,
020009F8,,20000014,
02000A26,,20000014,
020007B6,,20000014,
020007B7,,20000014,
02000160,,20000014,
0200012B,,20000014,
020009A7,,20000014,
020009A6,,20000014,
020009BA,,20000014,
020009BF,,20000014,
020009BD,,20000014,
020009C0,,20000014,
02000A39,,20000014,
02000B20,,20000014,
02000AFF,,20000014,
02000B00,,20000014,
02000C04,,20000014,
02000C02,,20000014,
02000A08,,20000014,
020002FA,,20000014,
02000EB6,,20000014,
02000EB7,,20000014,
02000EBC,,20000014,
02000EBB,,20000014,
02000EB8,,20000014,
02000EB2,,20000014,
02000EBA,,20000014,
02000EB9,,20000014,
0200105B,,20000014,
020001F2,,20000014,
02000102,,20000014,
020007B8,,20000014,
020007D6,,20000014,
02000872,,20000014,
02000871,,20000014,
02000E9A,,20000014,
02000877,,20000014,
0200087B,,20000014,
02000876,,20000014,
02000875,,20000014,
0200087A,,20000014,
0200017D,,20000014,
02000907,,20000014,
0200012E,,20000014,
0200084A,,20000014,
020009BC,,20000014,
020009D7,,20000014,
020009D8,,20000014,
020000AD,,20000014,
020009E3,,20000014,
020009E1,,20000014,
020009E4,,20000014,
020009F1,,20000014,
020009EF,,20000014,
02000A0F,,20000014,
02000A24,,20000014,
02000AEA,,20000014,
02000AEC,,20000014,
02000AEF,,20000014,
02000B3C,,20000014,
02000B10,,20000014,
02000B11,,20000014,
02000B12,,20000014,
02000B13,,20000014,
02000B14,,20000014,
02000B15,,20000014,
02000B0F,,20000014,
02000B16,,20000014,
02000B1D,,20000014,
02000B17,,20000014,
02000B18,,20000014,
02000B19,,20000014,
02000B1A,,20000014,
02000B1B,,20000014,
02000B1C,,20000014,
02000B1E,,20000014,
02000AFE,,20000014,
02000AFA,,20000014,
02000AFC,,20000014,
02000B1F,,20000014,
02000BBC,,20000014,
02000B84,,20000014,
02000B86,,20000014,
02000BC4,,,
02000BC3,,,
02000BC5,,,
02000BC6,,,
02000BC7,,,
02000BCB,,,
02000C6D,,20000014,
02000C82,,20000014,
02000C88,,20000014,
02000C89,,20000014,
02000C8A,,20000014,
02000C8B,,20000014,
02000C87,,20000014,
020000F8,,20000014,
02000CC9,,20000014,
02000D4A,,20000014,
02000D4B,,20000014,
02000D4C,,20000014,
02000CA9,,20000014,
02000DD3,,20000014,
02000DD6,,20000014,
02000DD7,,20000014,
02000DD9,,20000014,
02000DD5,,20000014,
02000DD4,,20000014,
02000DD8,,20000014,
02000E0C,,20000014,
02000E0D,,20000014,
02000E0E,,20000014,
02000E0F,,20000014,
02000E10,,20000014,
02000E11,,20000014,
02000E12,,20000014,
02000E13,,20000014,
02000DFF,,20000014,
02000E00,,20000014,
02000DF0,,20000014,
02000DF1,,20000014,
02000DF5,,20000014,
02000DF6,,20000014,
02000DFA,,20000014,
02000DFB,,20000014,
02000E07,,20000014,
02000DF2,,20000014,
02000DF7,,20000014,
02000DFC,,20000014,
02000DFE,,20000014,
02000DEF,,20000014,
02000DF4,,20000014,
02000DF9,,20000014,
02000E03,,20000014,
02000E04,,20000014,
02000E05,,20000014,
02000E95,,20000014,
02000E96,,20000014,
02000E97,,20000014,
02000E98,,20000014,
02000E99,,20000014,
02000E48,,,
02000166,,20000014,
020000FA,,20000014,
0200111A,,20000014,
02001119,,20000014,
0200111C,,20000014,
020010FA,,20000014,
020010FD,,20000014,
0200115C,,20000014,
0200115B,,20000014,
0200115A,,20000014,
02001159,,20000014,
020011E5,,20000014,
020011DF,,20000014,
020011D4,,20000014,
020011E3,,20000014,
020011DD,,20000014,
020011D7,,20000014,
02000D5C,,20000014,
02000BEE,0900008F,2000005A,30000000
02000CAE,0900008F,20000056,30000000
02000D5D,0900008F,2000005A,30000000
02000D41,090000FE,20000090,3000002F
02000004,0900001C,20000003,3000000E
02000A7D,0900000A,20000013,3000000C
02000AB7,090000C0,20000076,3000000C
02000E08,09000007,20000005,30000002
020012A6,09000007,20000005,30000002
020012B4,09000007,20000005,30000002
02001083,09000062,2000003D,30000015
02001036,09000148,200000AB,3000003B
020010DB,09000148,200000AB,3000003B
020010DD,09000162,200000B5,3000003C
02001157,0900016D,2000008C,3000001E
020011C6,09000162,200000B5,3000003C
02001162,0900016E,200000B7,3000003E
02000A95,090000BD,2000007B,30000007
02001019,090000BD,2000007B,30000007
020005A2,0900012C,2000009F,30000037
02000F96,0900012C,2000009F,30000037
02001068,09000151,200000B0,30000037
02000E66,09000079,20000046,30000022
02000700,09000097,20000059,30000027
02000713,09000098,20000059,30000027
02000711,09000098,20000059,30000027
02000702,09000099,20000059,30000027
020008FB,09000098,20000059,30000027
020008FC,09000097,20000059,30000027
020008FA,09000099,20000059,30000027
020008F9,09000098,20000059,30000027
02000DDA,09000117,20000059,30000027
02000E74,0900011C,20000059,30000027
02000F32,090000CB,20000014,30000027
02000F33,09000124,20000059,30000027
020010A2,0900015A,20000059,30000004
020011C2,09000133,20000014,30000027
02000E1B,09000111,20000056,30000000
020002D9,09000085,20000005,30000025
020002DA,09000085,20000005,30000025
020003A1,09000085,20000005,30000025
02000A04,09000028,2000006E,30000030
02000A46,09000028,2000006E,30000030
02000A47,09000028,2000006E,30000030
02000C14,09000028,2000006E,30000030
02000C15,09000028,2000006E,30000030
02000C13,09000028,2000006E,30000030
02000C12,09000028,2000006E,30000030
02001011,09000028,2000006E,30000030
0200100F,09000028,2000006E,30000030
02001012,09000028,2000006E,30000030
02001014,09000028,2000006E,30000030
02001010,09000028,2000006E,30000030
020007DD,09000008,20000007,30000004
02000034,0900008A,20000051,30000004
020012B2,09000008,20000007,30000004
02000C54,0900008F,2000005A,30000000
02000C55,0900008F,2000005A,30000000
02000CAC,0900008F,2000005A,30000000
02000CAB,0900008F,2000005A,30000000
02000CAD,0900008F,20000056,30000000
02000D7D,09000018,20000049,30000008
020004D6,09000114,20000067,30000024
02000DA7,09000111,20000093,30000000
020009C8,09000001,20000001,30000000
0200004E,09000001,20000002,30000000
02000D56,0900010E,20000001,30000000
020005BF,0900010E,20000001,30000000
020006A3,0900008F,20000056,30000000
0200089C,0900008F,20000056,30000000
0200089D,0900008F,20000056,30000000
02000D5E,0900008F,20000056,30000000
02000BEF,0900008F,2000005A,30000000
02000D5F,0900008F,2000005A,30000000
02001120,09000166,200000B6,3000003D
020007CA,09000081,20000015,30000008
020007D7,09000081,20000015,30000008
020007CB,09000081,20000015,30000008
020007D8,09000081,20000015,30000008
020007E6,09000081,2000009B,30000008
020007CC,09000081,20000015,30000008
020008A4,09000081,20000015,30000008
020008A2,09000081,2000009A,30000008
02000BEC,09000081,20000015,30000008
0200049A,09000069,2000003F,3000001C
02000F5F,09000001,20000015,30000000
02001032,09000081,20000015,30000008
02000A0B,09000006,2000000A,30000003
020012B3,09000006,2000000A,30000003
020008DA,0900009A,20000061,3000002B
02000037,0900001B,20000009,30000012
02000040,0900000A,20000013,3000000C
02000938,0900009D,20000065,3000002D
0200099E,090000A4,2000001E,3000002F
020009BB,0900008F,20000056,30000000
0200031F,0900006F,20000045,30000000
02000CD0,090000FA,20000092,30000007
02000F0D,09000122,20000001,
02001025,09000142,20000001,30000000
02001023,09000140,20000001,30000000
02000F48,090000FC,20000014,
02001024,09000141,20000001,30000000
02001066,09000001,200000AC,30000000
020011BF,0900013D,20000014,
020011CC,09000170,20000012,
020011CB,09000170,20000012,
020011CA,09000170,20000012,
020011C0,0900014E,2000008C,
02001255,09000001,20000001,30000000
0200099D,090000A1,20000069,3000002E
0200099C,090000A1,20000069,3000002E
020004AF,09000032,20000048,3000001A
020004AB,09000032,20000048,3000001A
020004AD,09000032,20000048,3000001A
020004AA,09000032,20000048,3000001A
020004AC,09000032,20000048,3000001A
020004AE,09000032,20000048,3000001A
02000C78,09000032,20000048,3000001A
02000C76,09000032,20000048,3000001A
02000C77,09000032,20000048,3000001A
020006AC,0900008F,2000005A,30000000
02000D60,0900008F,2000005A,30000000
0200101A,0900013F,200000A8,3000003A
02000A03,0900009B,20000070,3000002A
0200100E,0900009B,20000070,3000002A
02000486,09000067,2000003E,30000017
02001080,0900000B,2000000B,30000010
02001081,0900000B,2000000B,30000010
02001082,0900000B,2000000B,30000010
02000992,090000A0,2000006A,30000023
020002FF,09000027,20000032,30000016
02000B4F,09000009,2000002F,30000005
02000926,0900009B,20000062,3000002A
02000AAC,09000002,2000000D,30000001
02000AA9,09000002,2000000D,3000001B
02000AAB,09000002,2000000D,30000001
02000AAA,09000002,2000000D,3000001B
02000BAB,09000002,2000000D,30000001
0200041E,09000002,2000000D,3000001B
02000A36,090000BA,2000007C,3000001B
02000AAD,090000BF,2000007D,30000033
02000A90,090000BE,2000007D,30000033
02000C53,09000002,2000000D,3000001B
02000FB3,09000135,200000A1,30000039
02000F95,0900012B,2000009E,30000038
020004D4,0900007C,2000000D,30000001
02000F43,09000127,2000009D,30000001
02000F3D,09000126,2000009C,30000032
02000AE1,09000127,2000009D,30000001
02000FB5,09000115,20000059,30000004
02000FF0,09000115,20000059,30000004
02001145,09000127,2000009D,30000001
02001121,09000167,2000000E,30000011
0200003B,0900008B,20000051,
02001122,09000168,2000000E,30000011
02001125,09000169,20000051,30000004
0200003D,0900000E,2000000F,30000009
02000ECE,0900000E,2000000F,30000009
02000039,0900001A,20000010,3000000A
020003E3,09000004,20000015,30000008
02000984,0900009D,20000066,3000002C
02000498,09000068,20000041,30000019
02000FEC,0900013D,20000015,30000004
0200071B,09000093,20000002,30000028
0200084E,09000001,20000001,30000000
0200084D,09000093,20000002,30000000
02000854,09000094,20000001,30000000
02000853,09000094,20000001,30000000
020009B1,09000018,20000049,30000008
02000F49,09000093,20000002,30000028
020012D3,09000184,20000067,30000024
020005C4,09000080,2000004A,3000001F
020005A7,09000080,2000004A,3000001F
02000A43,090000BB,2000007A,30000035
02000059,09000025,2000001E,30000000
02000409,09000025,2000001E,30000000
02000408,09000025,2000001E,30000000
02000F7C,09000025,2000001E,30000000
02001030,09000146,200000AA,30000000
02000F89,0900007B,20000067,30000024
020006FD,09000091,20000058,30000026
020006FE,09000090,20000058,30000026
02000BEA,09000090,20000058,30000026
02000E8E,09000091,20000058,30000026
02000FF8,09000090,20000058,30000026
020009F6,090000F8,2000008C,3000000D
02000031,090000ED,2000008C,30000002
02000DA5,090000CB,2000008C,3000001E
02000398,090000CB,2000008C,3000001E
020003B1,090000CB,2000008C,3000001E
02000397,090000CB,2000008C,3000001E
02000964,0900000C,20000011,3000000B
02000E6C,090000CB,2000008C,3000000B
02000EFE,090000FD,2000008C,30000008
02000F06,090000CB,2000008C,3000001E
02000F2F,09000125,2000008C,3000001E
02000275,090000CB,2000008C,3000001E
02000C56,090000D5,2000008B,
020001E5,09000096,20000044,3000001E
0200042B,090000CB,2000008C,30000000
02001045,09000149,2000008C,3000001E
0200107E,090000CB,2000008C,3000001E
0200104A,09000149,2000008C,3000001E
0200104B,0900014A,2000008C,3000001E
02001051,0900013D,20000015,30000004
02001047,09000149,2000008C,3000001E
02001048,09000149,2000008C,3000001E
02001049,09000149,2000008C,3000001E
02001055,090000CB,2000008C,3000001E
0200104E,0900014C,200000AA,
02001054,090000CB,2000008C,3000001E
02001046,09000149,2000008C,3000001E
0200104C,0900014B,2000008C,3000001E
02001050,0900014E,2000008C,3000001E
02001059,0900007B,20000067,30000024
0200104F,0900014F,2000008C,3000001E
0200106E,09000149,2000008C,3000001E
0200106F,09000149,2000008C,3000001E
02001071,09000149,2000008C,3000001E
02001070,09000149,2000008C,3000001E
0200106D,09000149,2000008C,3000001E
020010A3,0900015B,2000008C,3000001E
020010E0,09000149,2000008C,3000001E
02001056,0900014D,2000008D,
020010DF,09000149,2000008C,3000001E
020010EF,09000163,2000008C,3000001E
020010E8,09000163,2000008C,3000001E
020010EA,09000163,2000008C,3000001E
020010ED,09000164,2000008C,3000001E
020010EC,09000164,2000008C,3000001E
020010EB,09000164,2000008C,3000001E
020010EE,09000163,2000008C,3000001E
020010E9,09000163,2000008C,3000001E
02001128,0900016B,2000008C,3000001E
0200112A,0900016A,2000008C,3000001E
0200115F,09000149,2000008C,3000001E
02001160,09000149,2000008C,3000001E
020011C7,090000CB,2000008C,3000001E
020011C8,090000CB,2000008C,3000001E
020011C9,090000CB,2000008C,3000001E
020011C5,09000086,20000023,
020011CD,090000CB,2000008C,3000001E
02001214,09000173,2000008C,3000001E
0200122B,09000178,2000008C,3000001E
020011AA,090000CB,2000008C,3000001E
0200121E,09000175,2000008C,3000001E
0200121D,090000CB,2000008C,3000001E
0200121C,090000CB,2000008C,3000001E
0200121B,090000CB,2000008C,3000001E
02001248,0900017D,20000014,3000001E
0200124A,090000CB,20000014,3000001E
0200124C,090000CB,20000014,3000001E
0200124B,090000CB,20000014,3000001E
02001249,0900017D,20000014,3000001E
020012A4,090000A1,20000069,3000002E
020012AC,0900017F,20000001,
020012D2,09000181,20000014,30000000
020012D1,09000183,20000014,30000000
020012D0,09000182,20000014,30000000
02000F31,090000FD,20000051,30000004
020012B1,0900000A,20000013,3000000C
02000E7A,0900000C,20000011,3000000B
02000E79,0900000C,20000011,3000000B
02000197,09000017,20000016,30000000
0200100D,09000017,20000016,30000000
02001123,09000001,20000002,30000000
02000FA5,09000017,20000016,30000000
02000FA4,09000017,20000016,30000000
0200111E,09000017,20000016,30000000
020006F3,09000031,20000049,3000001E
0200059D,09000031,2000005E,3000001E
02000A29,0900008F,20000049,30000000
020009F3,0900008F,20000049,30000000
02000A4C,0900008F,20000049,30000000
020009DB,0900008F,20000049,30000000
02000899,09000031,2000005E,3000001E
02000BC1,090000CB,20000058,3000001E
02000D3F,090000FD,2000008F,
02000D36,090000FC,2000008F,
02000EA6,0900011F,20000014,
02000EF7,09000121,20000014,
02000F64,09000129,2000008F,
02000FA2,09000134,20000025,
02000FB4,09000136,20000001,
02000F9B,09000131,2000008C,
02000FBC,09000137,20000001,
02000FBB,09000137,20000001,
02000FBA,09000137,20000001,
02000FBD,09000137,20000001,
02001098,09000009,200000B4,30000005
02001095,09000008,20000007,30000004
020010FE,09000165,2000008C,30000000
02001251,0900017A,200000B9,3000003F
02000925,0900009C,20000063,30000029
02000A69,0900008F,20000059,30000027
02000A6E,0900008F,20000059,30000027
02000A6D,0900008F,20000059,30000027
02000A6C,0900008F,20000059,30000027
02000A6A,0900008F,20000059,30000027
02000F47,09000028,20000012,3000000D
02000C10,0900008F,20000059,30000027
02000C0F,0900008F,20000059,30000027
02000C0E,0900008F,20000059,30000027
02000C11,0900008F,20000059,30000027
02000FAB,09000133,20000012,
02001015,0900008F,20000059,30000027
02001016,0900008F,20000059,30000027
02001018,0900008F,20000059,30000027
02001017,0900008F,20000059,30000027
02000DD2,09000115,20000059,30000004
02001091,09000158,20000059,30000004
020010A8,0900015F,20000059,30000004
020010AD,09000161,20000059,30000004
02001143,0900016C,20000059,30000004
02001175,0900015F,20000059,30000004
02001227,09000176,20000059,30000004
0200059A,09000031,20000049,3000001E
02000599,09000031,20000049,3000001E
0200059C,09000031,20000049,3000001E
0200059B,09000031,20000049,3000001E
0200089A,09000031,20000049,3000001E
02000FEF,0900008F,20000049,3000001E
02001124,0900008F,20000049,30000000
02000B8B,,20000014,
020019FF,09000202,20000023,
0200024F,09000016,20000022,
02000281,09000016,20000022,
0200027C,09000023,20000023,
02000310,0900002B,20000033,
02000312,0900002A,20000033,
02000313,09000029,20000033,
0200037E,0900002F,20000023,
02000422,09000037,20000023,
02000311,0900002C,20000023,
020005F2,09000087,2000004F,
020005DA,09000086,20000023,
020005F1,09000086,20000023,
0200098C,09000087,2000004F,
020009A9,09000086,20000023,
02000A7E,090000C3,20000023,
02000BDE,090000CC,20000084,
02000C07,090000D3,2000008A,
02000C09,090000D3,2000008A,
02000C0D,090000D3,2000008A,
02000C08,090000D3,2000008A,
02000C0C,090000D3,2000008A,
02000C0B,090000D3,2000008A,
02000C0A,090000D3,2000008A,
02000C9D,09000016,20000022,
02000C7E,090000C3,20000023,
02000D55,090000F9,2000008D,
020003B5,09000023,20000023,
02000F84,0900012A,2000008B,
02000FDB,09000138,20000022,
02000FDA,09000139,200000A2,
02000FE6,0900013C,20000025,
02000FE7,0900013B,2000008D,
02000FEE,0900013E,20000022,
02000FF1,0900013B,2000008D,
02000FF2,0900013B,2000008D,
02001216,0900014D,2000008D,
02001215,09000174,20000022,
020011AB,0900014D,2000008D,
02001204,09000171,20000022,
02000065,,,
02000177,,20000014,
02000F09,,20000014,
020000F6,,20000014,
02000709,,20000014,
020006F2,,20000014,
020008CA,,20000014,
02000E5A,,20000014,
02000F0A,,20000014,
020000EB,,20000014,
02000176,,20000014,
020000F0,,20000014,
020000F3,,20000014,
020000F1,,20000014,
02000175,,20000014,
020000E9,,20000014,
020000E6,,20000014,
020000E7,,20000014,
020000E5,,20000014,
020000E8,,20000014,
0200060A,,20000014,
0200060D,,20000014,
02000178,,20000014,
02000640,,20000014,
02000605,,20000014,
02000607,,20000014,
0200060B,,20000014,
0200060E,,20000014,
0200063F,,20000014,
020006FC,,20000014,
020008C8,,20000014,
02000E70,,20000014,
02000B87,,20000014,
02000BFB,,20000014,
02000BFC,,20000014,
02000C71,,20000014,
02000211,,20000014,
02000E59,,20000014,
02000F3C,,20000014,
020012BA,,20000014,
02000E15,,,
0200003A,09000009,2000002F,30000005
02000FFB,,20000014,
02000FF5,,20000014,
02000921,,20000014,
02000973,,20000014,
020009C4,,20000014,
020009C2,,20000014,
020009C3,,20000014,
020009D3,,20000014,
02000B7D,,20000014,
02000B85,,20000014,
02000C79,,20000014,
02000D53,,20000014,
02001116,,20000014,
0200111B,,20000014,
02001117,,20000014,
02001113,,20000014,
02001118,,20000014,
020004B7,,20000014,
020010F9,,20000014,
020010F2,,20000014,
020010F4,,20000014,
020010F6,,20000014,
020010F5,,20000014,
020010F7,,20000014,
020010F8,,20000014,
020010F3,,20000014,
02000305,,20000014,
020012E0,,20000014,
020012E2,,20000014,
02000A8A,,20000014,
020012E1,,20000014,
020012E3,,20000014,
02000162,,20000014,
02000164,,20000014,
02000161,,20000014,
02000F8D,,,
020003D8,,,
02000576,,20000014,
02000A16,,20000014,
02000A33,,20000014,
02000B04,,20000014,
02000B64,,20000014,
02000BE8,,20000014,
02000C6C,,20000014,
02000D76,,20000014,
02000DCC,,20000014,
0200101B,,20000014,
0200101C,,20000014,
02001035,,20000014,
