# wcid, name, clothingbase_did, palettetemplate_int, shade_float
7682,Lesser Celdon Girth of Frost,10000183,2,0.3
7683,Lesser Celdon Girth of Lightning,10000183,13,0.4
7684,Celdon Shadow Girth,10000183,20,0.5
7685,Celdon Girth of Acid,10000183,8,0.3
7686,Celdon Girth of Flame,10000183,14,0.9
7687,Celdon Girth of Frost,10000183,2,0.9
7688,Celdon Girth of Lightning,10000183,13,0.9
7689,Greater Amuli Shadow Leggings,100001a0,18,0.2
7690,Greater Amuli Leggings of Acid,100001a0,8,0.3
7691,Greater Amuli Leggings of Flame,100001a0,14,0.3
7692,Greater Amuli Leggings of Frost,100001a0,2,0.3
7693,Greater Amuli Leggings of Lightning,100001a0,13,0.5
7694,Lesser Amuli Shadow Leggings,100001a0,14,0.5
7695,Lesser Amuli Leggings of Acid,100001a0,8,0.6
7696,Lesser Amuli Leggings of Flame,100001a0,14,0.6
7697,Lesser Amuli Leggings of Frost,100001a0,2,0.6
7698,Lesser Amuli Leggings of Lightning,100001a0,13,0.6
7699,Amuli Shadow Leggings,100001a0,9,0.9
7700,Amuli Leggings of Acid,100001a0,8,0.9
7701,Amuli Leggings of Flame,100001a0,14,1
7702,Amuli Leggings of Frost,100001a0,2,0.8
7703,Amuli Leggings of Lightning,100001a0,13,0.8
7704,Amuli Shadow Leggings,100001a0,9,0.9
7705,Greater Celdon Shadow Leggings,10000184,21,0.5
7706,Greater Celdon Leggings of Acid,10000184,8,0.6
7707,Greater Celdon Leggings of Flame,10000184,14,0.2
7708,Greater Celdon Leggings of Frost,10000184,2,0.5
7709,Greater Celdon Leggings of Lightning,10000184,13,0.5
7710,Lesser Celdon Shadow Leggings,10000184,14,0.6
7711,Lesser Celdon Leggings of Acid,10000184,8,0.9
7712,Lesser Celdon Leggings of Flame,10000184,14,0.7
7713,Lesser Celdon Leggings of Frost,10000184,2,0.3
7714,Lesser Celdon Leggings of Lightning,10000184,13,0.4
7715,Celdon Shadow Leggings,10000184,20,0.5
7716,Celdon Leggings of Acid,10000184,8,0.3
7717,Celdon Leggings of Flame,10000184,14,0.9
7718,Celdon Leggings of Frost,10000184,2,0.9
7719,Celdon Leggings of Lightning,10000184,13,0.9
7720,Greater Koujia Shadow Leggings,10000189,21,0.9
7721,Greater Koujia Leggings of Acid,10000189,8,0.3
7722,Greater Koujia Leggings of Flame,10000189,14,0.9
7723,Greater Koujia Leggings of Frost,10000189,2,0.3
7724,Greater Koujia Leggings of Lightning,10000189,13,0.9
7725,Lesser Koujia Shadow Leggings,10000189,14,0.1
7726,Lesser Koujia Leggings of Acid,10000189,8,0.6
7727,Lesser Koujia Leggings of Flame,10000189,14,0.6
7728,Lesser Koujia Leggings of Frost,10000189,2,0.6
7729,Lesser Koujia Leggings of Lightning,10000189,13,0.2
7730,Koujia Shadow Leggings,10000189,20,0.7
7731,Koujia Leggings of Acid,10000189,8,0.9
7732,Koujia Leggings of Flame,10000189,14,0.5
7733,Koujia Leggings of Frost,10000189,2,0.5
7734,Koujia Leggings of Lightning,10000189,13,0.7
7735,Greater Celdon Shadow Sleeves,10000187,21,0.5
7736,Greater Celdon Sleeves of Acid,10000187,8,0.6
7737,Greater Celdon Sleeves of Flame,10000187,14,0.2
7738,Greater Celdon Sleeves of Frost,10000187,2,0.5
7739,Greater Celdon Sleeves of Lightning,10000187,13,0.5
7740,Lesser Celdon Shadow Sleeves,10000187,14,0.6
7741,Lesser Celdon Sleeves of Acid,10000187,8,0.9
7742,Lesser Celdon Sleeves of Flame,10000187,14,0.7
7743,Lesser Celdon Sleeves of Frost,10000187,2,0.3
7744,Lesser Celdon Sleeves of Lightning,10000187,13,0.4
7745,Celdon Shadow Sleeves,10000187,20,0.5
7746,Celdon Sleeves of Acid,10000187,8,0.3
7747,Celdon Sleeves of Flame,10000187,14,0.9
7748,Celdon Sleeves of Frost,10000187,2,0.9
7749,Celdon Sleeves of Lightning,10000187,13,0.9
7750,Greater Koujia Shadow Sleeves,1000018b,18,0.9
7751,Greater Koujia Sleeves of Acid,1000018b,8,0.3
7752,Greater Koujia Sleeves of Flame,1000018b,14,0.3
7753,Greater Koujia Sleeves of Frost,1000018b,2,0.3
7754,Greater Koujia Sleeves of Lightning,1000018b,13,0.5
7755,Lesser Koujia Shadow Sleeves,1000018b,14,0.1
7756,Lesser Koujia Sleeves of Acid,1000018b,8,0.6
7757,Lesser Koujia Sleeves of Flame,1000018b,14,0.6
7758,Lesser Koujia Sleeves of Frost,1000018b,2,0.6
7759,Lesser Koujia Sleeves of Lightning,1000018b,13,0.2
7760,Koujia Shadow Sleeves,1000018b,9,0.5
7761,Koujia Sleeves of Acid,1000018b,8,0.9
7762,Koujia Sleeves of Flame,1000018b,14,0.5
7763,Koujia Sleeves of Frost,1000018b,2,0.5
7764,Koujia Sleeves of Lightning,1000018b,13,0.9
8148,Banderling Mask,10000252,4,0.66
8149,Drudge Mask,10000253,4,0.66
8150,Mosswart Mask,10000254,4,0.66
8151,Skull Mask,10000255,4,0.66
8152,Tusker Mask,10000258,4,0.66
8153,Virindi Mask,10000322,3,0.66
8204,King's Helm,1000026e,4,0.66
8205,Shadow's Garb,1000026f,4,0.66
8206,Ogre Mask,10000270,4,0.66
8394,Olthoi Helm,1000026a,39,0.3
8472,Fine Armoredillo Hide Shirt,100004d3,22,0.3
8655,Shreth Hide Gauntlets,1000028c,4,0.66
8659,Shreth Hide Pants,10000285,6,0.66
8660,Shreth Hide Shoes,1000028b,19,0.66
8661,Ursuin Hide Coat,10000286,10,0.66
8662,Ursuin Hide Girth,10000284,4,0.66
8663,Ursuin Hide Helmet,1000028a,18,0.5
8679,A Society Leather Basinet,10000038,1,0.3
8680,An Explorer Leather Basinet,100004e8,27,0.66
8681,A Pair Of Society Leather Boots,10000007,1,0.3
8682,A Pair Of Explorer Leather Boots,100004e6,27,0.1
8687,A Society Leather Breastplate,10000055,1,0.3
8688,An Explorer Leather Breastplate,100004ec,27,0.66
8695,A Society Leather Girth,10000043,1,0.3
8696,An Explorer Leather Girth,100004ea,27,0.66
8699,A Pair Of Society Leather Leggings,1000004d,1,0.3
8700,A Pair Of Explorer Leather Leggings,100004de,27,0.66
8706,A Pair Of Society Leather Pauldrons,1000004f,1,0.3
8707,A Pair Of Explorer Leather Pauldrons,100004eb,27,0.66
8710,A Pair Of Society Leather Sleeves,1000002e,1,0.3
8711,A Pair Of Explorer Leather Sleeves,100004e0,27,0.66
8785,Empyrean Scalemail Shirt,100000ab,20,0.66
8787,Shadow Captain's Heaume,10000282,39,0.1
8792,Helm of the Lightbringer,10000282,20,1
8804,Great Work Helm of the Lightbringer,10000289,83,0.66
8805,Nexus Helm of the Lightbringer,10000289,2,0.66
8806,Fenmalain Helm of the Lightbringer,10000289,13,0.9
8807,Caulnalain Helm of the Lightbringer,10000289,13,0.5
8808,Shendolain Helm of the Lightbringer,10000289,13,0.2
8809,Herald's Helm of the Lightbringer,10000289,39,0.66
8867,Weaver's Coat,100001a1,2,0
8868,Weaver's Leggings,100001a0,2,0
8875,Amuli Coat,100001a1,20,0.66
8876,Amuli Leggings,100001a0,9,0.5
8877,Amuli Coat,100001a1,20,0.66
8878,Amuli Leggings,100001a0,9,0.5
8896,Furry Mattekar Hide Coat,10000286,9,0.66
9021,Boots of the Vault,10000239,9,0.1
9035,Exarch Plate Girth,10000295,2,0.5
9036,Exarch Plate Girth,10000295,9,0.5
9037,Exarch Plate Girth,10000295,20,0.5
9038,Exarch Plate Leggings,10000296,2,0.5
9039,Exarch Plate Leggings,10000296,9,0.5
9040,Exarch Plate Leggings,10000296,20,0.5
9085,Thaumaturgic Plate Girth,10000292,2,0.5
9086,Thaumaturgic Plate Girth,10000292,9,0.5
9087,Thaumaturgic Plate Girth,10000292,20,0.5
9088,Thaumaturgic Plate Leggings,10000293,2,0.5
9089,Thaumaturgic Plate Leggings,10000293,9,0.5
9090,Thaumaturgic Plate Leggings,10000293,20,0.5
9240,Snake Skin Boots,100002b2,8,0.1
9241,Ursuin Boots,100002b0,6,0.6
9245,Snake Skin Coat,100002b1,8,0.66
9246,Ursuin Hide Coat,10000286,6,0.66
9247,Sclavus Skin Helmet,100002b3,8,0.5
9389,Bastion of Tukal,100002c7,13,0.66
9390,Lugian Armor,100002c8,2,0.66
9392,Helm of the Crag,100002b7,2,0.25
9393,Mattekar Arm Guard,100002cc,20,0.86
9489,Sleeves of Inexhaustibility,100002c3,1,0.8
10701,Niffis Shell Helm,100002da,20,0.66
10766,Shackles of Obedience,100002df,20,0.33
10870,Canescent Mattekar Robe,10000348,2,0.732
10871,Canescent Mattekar Robe,10000348,14,0.09
10920,Kareb Mask,10000474,4,0.66
11364,Siraluun Headdress,1000030d,14,0.66
11985,Heavy Ursuin Coat,10000286,18,0.9
11986,Energy Crown,10000323,82,0.66
11990,Gauntlets of Marksmanship,1000028c,4,0.66
11998,Virindi Inquisitor's Mask,10000322,14,0.66
12192,Shadow's Garb,1000026f,4,0.66
12206,Doll Mask,10000328,61,0.66
12207,Inviso Mask,10000329,61,0.66
12208,Scarecrow Mask,1000032a,4,0.66
12209,Sclavus Mask,1000032b,4,0.66
12210,Ursuin Mask,1000032d,4,0.66
12211,Zombie Mask,1000032c,4,0.66
12212,Pwyll's Crown,1000033f,4,0.66
12213,Veil of Darkness,10000340,4,0.66
12214,Koji's Beast,10000341,4,0.66
12252,Obsidian Director's Mask,10000322,39,0.66
13210,Academy Coat,10000286,1,0.66
13211,Academy Coat,10000286,2,0.66
13212,Academy Coat,10000286,3,0.66
13213,Academy Coat,10000286,5,0.66
13214,Academy Coat,10000286,7,0.66
13215,Academy Coat,10000286,8,0.66
13216,Academy Coat,10000286,11,0.66
13217,Academy Coat,10000286,13,0.66
13218,Academy Coat,10000286,14,0.66
13219,Academy Coat,10000286,16,0.66
14594,Helm of the Elements,10000366,20,0.66
14823,Greater Celdon Shadow Breastplate,10000188,20,0.9
14824,Greater Celdon Shadow Breastplate,10000188,29,0.6
14825,Greater Celdon Shadow Breastplate,10000188,27,0.6
14826,Greater Celdon Shadow Breastplate,10000188,24,0.6
14827,Greater Koujia Shadow Breastplate,1000018c,20,0.95
14828,Greater Koujia Shadow Breastplate,1000018c,29,1
14829,Greater Koujia Shadow Breastplate,1000018c,27,1
14830,Greater Koujia Shadow Breastplate,1000018c,24,1
14831,Greater Amuli Shadow Coat,100001a1,20,0.95
14832,Greater Amuli Shadow Coat,100001a1,29,0.3
14833,Greater Amuli Shadow Coat,100001a1,27,0.3
14834,Greater Amuli Shadow Coat,100001a1,24,0.3
14835,Greater Celdon Shadow Girth,10000183,20,0.95
14836,Greater Celdon Shadow Girth,10000183,29,0.6
14837,Greater Celdon Shadow Girth,10000183,27,0.6
14838,Greater Celdon Shadow Girth,10000183,24,0.6
14839,Greater Amuli Shadow Leggings,100001a0,4,0.75
14840,Greater Amuli Shadow Leggings,100001a0,29,0.3
14841,Greater Amuli Shadow Leggings,100001a0,27,0.3
14842,Greater Amuli Shadow Leggings,100001a0,24,0.3
14843,Greater Celdon Shadow Leggings,10000184,20,0.95
14844,Greater Celdon Shadow Leggings,10000184,29,0.6
14845,Greater Celdon Shadow Leggings,10000184,27,0.6
14846,Greater Celdon Shadow Leggings,10000184,24,0.6
14847,Greater Koujia Shadow Leggings,10000189,20,0.95
14848,Greater Koujia Shadow Leggings,10000189,29,1
14849,Greater Koujia Shadow Leggings,10000189,27,1
14850,Greater Koujia Shadow Leggings,10000189,24,1
14851,Greater Celdon Shadow Sleeves,10000187,20,0.95
14852,Greater Celdon Shadow Sleeves,10000187,29,0.6
14853,Greater Celdon Shadow Sleeves,10000187,27,0.6
14854,Greater Celdon Shadow Sleeves,10000187,24,0.6
14855,Greater Koujia Shadow Sleeves,1000018b,9,0.8
14856,Greater Koujia Shadow Sleeves,1000018b,29,1
14857,Greater Koujia Shadow Sleeves,1000018b,27,1
14858,Greater Koujia Shadow Sleeves,1000018b,24,1
21372,Circlet of Supremacy,100003f5,2,0.66
21373,Martine's Mask,100003f1,4,0.66
21527,Saelgauloi,100003e4,39,0
22013,Olthoi Helm,100003ff,4,0.3
22014,Virindi Profatrix Mask,100003fd,39,0.66
22015,Pwyll's Guard,10000409,4,0.66
22016,Shroud of Night,1000040a,4,0.66
22017,Koji's Fiend,1000040b,4,0.66
22022,Banderling Mask,100003fe,4,0.66
22023,Mosswart Mask,100003fa,4,0.66
22550,Tusker Paws,10000434,4,1
22557,Magic Defense Tattoo,10000425,12,0.33
22558,Mana Conversion Tattoo,10000426,15,0.33
22559,Melee Defense Tattoo,10000427,14,0.33
22560,Missile Defense Tattoo,10000428,13,0.33
22884,Neydisa Hauberk,10000006,14,0.1
23097,Swarthy Mattekar Robe,10000315,39,0
23206,Old Boot,1000043b,4,0.8
23590,Heavy Ursuin Coat,10000286,18,0.9
23591,Energy Crown,10000323,82,0.66
23777,Brilliant Amuli Coat,100001a1,39,0.232
23778,Charged Amuli Coat,100001a1,39,0.232
23779,Frosty Amuli Coat,100001a1,39,0.232
23780,Hardened Amuli Coat,100001a1,39,0.232
23781,Plated Amuli Coat,100001a1,39,0.232
23782,Scored Amuli Coat,100001a1,39,0.232
23783,Searing Amuli Coat,100001a1,39,0.232
23784,Solid Amuli Coat,100001a1,39,0.232
23785,Brilliant Amuli Leggings,100001a0,93,0.25
23786,Charged Amuli Leggings,100001a0,93,0.25
23787,Frosty Amuli Leggings,100001a0,93,0.25
23788,Hardened Amuli Leggings,100001a0,93,0.25
23789,Plated Amuli Leggings,100001a0,93,0.25
23790,Scored Amuli Leggings,100001a0,93,0.25
23791,Searing Amuli Leggings,100001a0,93,0.25
23792,Solid Amuli Leggings,100001a0,93,0.25
23793,Brilliant Celdon Breastplate,10000188,39,0.232
23794,Charged Celdon Breastplate,10000188,39,0.232
23795,Frosty Celdon Breastplate,10000188,39,0.232
23796,Hardened Celdon Breastplate,10000188,39,0.232
23797,Plated Celdon Breastplate,10000188,39,0.232
23798,Scored Celdon Breastplate,10000188,39,0.232
23799,Searing Celdon Breastplate,10000188,39,0.232
23800,Solid Celdon Breastplate,10000188,39,0.232
23801,Brilliant Celdon Girth,10000183,39,0.232
23802,Charged Celdon Girth,10000183,39,0.232
23803,Frosty Celdon Girth,10000183,39,0.232
23804,Hardened Celdon Girth,10000183,39,0.232
23805,Plated Celdon Girth,10000183,39,0.232
23806,Scored Celdon Girth,10000183,39,0.232
23807,Searing Celdon Girth,10000183,39,0.232
23808,Solid Celdon Girth,10000183,39,0.232
23809,Brilliant Celdon Leggings,10000184,39,0.232
23810,Charged Celdon Leggings,10000184,39,0.232
23811,Frosty Celdon Leggings,10000184,39,0.232
23812,Hardened Celdon Leggings,10000184,39,0.232
23813,Plated Celdon Leggings,10000184,39,0.232
23814,Scored Celdon Leggings,10000184,39,0.232
23815,Searing Celdon Leggings,10000184,39,0.232
23816,Solid Celdon Leggings,10000184,39,0.232
23817,Brilliant Celdon Sleeves,10000187,39,0.232
23818,Charged Celdon Sleeves,10000187,39,0.232
23819,Frosty Celdon Sleeves,10000187,39,0.232
23820,Hardened Celdon Sleeves,10000187,39,0.232
23821,Plated Celdon Sleeves,10000187,39,0.232
23822,Scored Celdon Sleeves,10000187,39,0.232
23823,Searing Celdon Sleeves,10000187,39,0.232
23824,Solid Celdon Sleeves,10000187,39,0.232
23825,Brilliant Koujia Breastplate,1000018c,93,0.25
23826,Charged Koujia Breastplate,1000018c,93,0.25
23827,Frosty Koujia Breastplate,1000018c,93,0.25
23828,Hardened Koujia Breastplate,1000018c,93,0.25
23829,Plated Koujia Breastplate,1000018c,93,0.25
23830,Scored Koujia Breastplate,1000018c,93,0.25
23831,Searing Koujia Breastplate,1000018c,93,0.25
23832,Solid Koujia Breastplate,1000018c,93,0.25
23833,Brilliant Koujia Leggings,10000189,93,0.25
23834,Charged Koujia Leggings,10000189,93,0.25
23835,Frosty Koujia Leggings,10000189,93,0.25
23836,Hardened Koujia Leggings,10000189,93,0.25
23837,Plated Koujia Leggings,10000189,93,0.25
23838,Scored Koujia Leggings,10000189,93,0.25
23839,Searing Koujia Leggings,10000189,93,0.25
23840,Solid Koujia Leggings,10000189,93,0.25
23841,Brilliant Koujia Sleeves,1000018b,93,0.25
23842,Charged Koujia Sleeves,1000018b,93,0.25
23843,Frosty Koujia Sleeves,1000018b,93,0.25
23844,Hardened Koujia Sleeves,1000018b,93,0.25
23845,Plated Koujia Sleeves,1000018b,93,0.25
23846,Scored Koujia Sleeves,1000018b,93,0.25
23847,Searing Koujia Sleeves,1000018b,93,0.25
23848,Solid Koujia Sleeves,1000018b,93,0.25
23881,Fish Boots,10000056,1,0.1
23936,Auroric Exarch Girth,1000044c,2,0.5
23937,Auroric Exarch Girth,1000044c,8,0.5
23938,Auroric Exarch Girth,1000044c,14,0.5
23939,Luminescent Thaumaturgic Girth,1000044d,2,0.5
23940,Luminescent Thaumaturgic Girth,1000044d,8,0.5
23941,Luminescent Thaumaturgic Girth,1000044d,14,0.5
23942,Auroric Runic Helm,10000450,2,0.66
23943,Auroric Runic Helm,10000450,8,0.66
23944,Auroric Runic Helm,10000450,14,0.66
23945,Runic Helm of Knorr,10000451,20,0.66
23946,Luminescent Runic Helm,10000451,2,0.66
23947,Luminescent Runic Helm,10000451,8,0.66
23948,Luminescent Runic Helm,10000451,14,0.66
23949,Auroric Exarch Leggings,1000044e,2,0.5
23950,Auroric Exarch Leggings,1000044e,8,0.5
23951,Auroric Exarch Leggings,1000044e,14,0.5
23952,Luminescent Thaumaturgic Leggings,1000044f,2,0.5
23953,Luminescent Thaumaturgic Leggings,1000044f,8,0.5
23954,Luminescent Thaumaturgic Leggings,1000044f,14,0.5
24057,Fish Boots,10000056,1,0.1
24137,Dusty Sollerets,10000054,20,0.66
24173,Jaleh's Leggings,10000471,22,0.1
24174,Jaleh's Chain Shirt,10000472,2,1
24268,Olthoi Fighter Sleeves,1000047f,2,0.66
24454,Artificer's Gauntlets,1000049c,14,0.66
24457,Enchanter's Gauntlets,1000049c,14,0.66
24459,Hieromancer's Gauntlets,1000049c,14,0.66
24461,Life Giver's Gauntlets,1000049c,14,0.66
24463,Opal Gauntlets,1000049b,2,0.66
24467,Sunstone Gauntlets,1000049c,14,0.66
24615,Fine Olthoi Bracers,100004b1,2,0.33
24616,Good Olthoi Bracers,100004b1,2,0.33
24617,Fine Olthoi Breastplate,100004b2,2,0.33
24618,Good Olthoi Breastplate,100004b2,2,0.33
24619,Fine Olthoi Gauntlets,100004b0,2,0.66
24620,Good Olthoi Gauntlets,100004b0,2,0.66
24621,Fine Olthoi Girth,100004af,2,0.33
24622,Good Olthoi Girth,100004af,2,0.33
24623,Fine Olthoi Greaves,100004ae,2,0.33
24624,Good Olthoi Greaves,100004ae,2,0.33
24625,Fine Olthoi Brood Queen Helm,100004aa,2,0.66
24626,Good Olthoi Brood Queen Helm,100004aa,2,0.66
24627,Fine Olthoi Pauldrons,100004ab,2,0.33
24628,Good Olthoi Pauldrons,100004ab,2,0.33
24629,Fine Olthoi Sollerets,100004ac,2,0.66
24630,Good Olthoi Sollerets,100004ac,2,0.66
24631,Fine Olthoi Tassets,100004ad,2,0.33
24632,Good Olthoi Tassets,100004ad,2,0.33
24879,Virindi Profatrix Mask,100004a8,3,0.66
24889,Greater Olthoi Bracers,100004b1,2,0.33
24890,Lesser Olthoi Bracers,100004b1,2,0.33
24891,Greater Olthoi Breastplate,100004b2,2,0.33
24892,Lesser Olthoi Breastplate,100004b2,2,0.33
24893,Greater Olthoi Gauntlets,100004b0,2,0.66
24894,Lesser Olthoi Gauntlets,100004b0,2,0.66
24895,Greater Olthoi Girth,100004af,2,0.33
24896,Lesser Olthoi Girth,100004af,2,0.33
24897,Greater Olthoi Greaves,100004ae,2,0.33
24898,Lesser Olthoi Greaves,100004ae,2,0.33
24899,Greater Olthoi Brood Queen Helm,100004aa,2,0.66
24900,Lesser Olthoi Brood Queen Helm,100004aa,2,0.66
24901,Greater Olthoi Pauldrons,100004ab,2,0.33
24902,Lesser Olthoi Pauldrons,100004ab,2,0.33
24903,Greater Olthoi Sollerets,100004ac,2,0.66
24904,Lesser Olthoi Sollerets,100004ac,2,0.66
24905,Greater Olthoi Tassets,100004ad,2,0.33
24906,Lesser Olthoi Tassets,100004ad,2,0.33
24945,Antius' Celdon Breastplate,100004b6,14,0.33
24946,Antius' Celdon Gauntlets,100004bb,14,0.66
24947,Antius' Celdon Girth,100004b7,14,0.33
24948,Antius' Celdon Helm,100004b9,14,0.66
24949,Antius' Celdon Leggings,100004b8,14,0.66
24950,Antius' Celdon Sollerets,100004ba,14,0.66
24956,Antius' Celdon Sleeves,100004b5,14,0.66
