A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
Arena of the Tusker Hero | Dungeon | 0x5E430105 [20 -30 0.005] 1 0 0 0
Ariake Portal | Dungeon | 0xDF6A0035 [148.868 110.021 2.005] 0.755465 0 0 -0.655189
Arida Butte Portal | Dungeon | 0xAD62003E [183.102 127.419 53.488] -0.731818 0 0 -0.6815
Armory | Dungeon | 0x00EA0303 [90 -90 -41.46] 1 0 0 0
Arqasanti Portal | Dungeon | 0x9260001D [93.483 114.207 13.312] 0.926512 0 0 -0.376265
Arrak Portal | Dungeon | 0x8573000C [45.115 93.048 14.005] 0.819952 0 0 -0.572432
Arrival Chamber | Dungeon | 0x3FB10110 [514 -309 -51.595] 0.707107 0 0 -0.707107
Arrowdale Cottages Portal | Dungeon | 0xD9D00024 [100.118 86.568 35.149] -0.999344 0 0 -0.036208
Arshid's Den of Iniquity | Dungeon | 0x7E64001D [85 108 12] 0.707107 0 0 -0.707107
Artifex Collegium | Dungeon | 0x00ED0350 [180 -330 0.005] 1 0 0 0
Artifex Vault Portal | Dungeon | 0x01370341 [188.4 -10 0] 0 0 0 -1
Artifice Cottages Portal | Dungeon | 0x8F15001D [78.648 106.778 297.649] -0.999911 0 0 -0.013369
Arwic | Town | 0xC6A90009 [46.805 4.219 42.005] 1 0 0 0
Arwic Meeting Hall Portal | Dungeon | 0x011F0126 [30 -60 6] 1 0 0 0
Arwic Mines Portal | Dungeon | 0x01EF03DD [67.5 -69.8 0] -0.707107 0 0 -0.707107
Asandra Cottages Portal | Dungeon | 0x5DC60025 [103.338 115.567 60.005] 0.222791 0 0 -0.974866
Asbel Domain Portal | Dungeon | 0xB17E0013 [56.062 56.644 25.285] 0.922972 0 0 -0.384867
Asheron's Castle | Dungeon | 0xD59A0039 [177 1.21 373.501] 0 0 0 -1
Asheron's Island | Dungeon | 0xD6930005 [18.435 113.644 -0.095] 1 0 0 0
Asheron's Island East | Dungeon | 0xDC980010 [44.004 169.82 -0.095] -0.317818 0 0 -0.948152
Asheron's Island North | Dungeon | 0xD59D0025 [97.262 97.222 -0.095] 0 0 0 -1
Asheron's Island South | Dungeon | 0xDA910025 [100.147 114.412 -0.095] -0.979991 0 0 -0.199043
Asheron's Island West | Dungeon | 0xD6930005 [18.435 113.644 -0.095] 0.876218 0 0 -0.481914
Asheron's Sanctum | Dungeon | 0x5E470104 [11.8286 -9.20461 0.005] 1 0 0 0
Asheron's Tower | Dungeon | 0x5E470105 [10 -20 0.005] 1 0 0 0
Assassins' Hideout | Dungeon | 0x00820185 [20 -327 0.005] 1 0 0 0
Asuger Temple Portal | Dungeon | 0x010B0101 [0 0 0] -0.087156 0 0 -0.996195
Atlan Dormitory Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Atlan's Laboratory | Dungeon | 0x006E054C [56.6898 -150.213 0.005] 0.718808 0 0 -0.695208
Atrium Residential Halls Portal | Dungeon | 0x56610140 [40 -70 0] 1 0 0 0
Augmentation Realm Lower Level | Dungeon | 0x007D0268 [152.833 -103.059 6.005] 1 0 0 0
Augmentation Realm Main Level | Dungeon | 0x005601C6 [37.286 -36.596 -5.995] 1 0 0 0
Augmentation Realm Main Level | Dungeon | 0x00560261 [129.225 -210.094 -5.995] 0.707107 0 0 -0.707107
Augmentation Realm Main Level | Dungeon | 0x0056030F [169.694 -60.8581 -5.995] -0.461748 0 0 -0.887011
Augmentation Realm Main Level | Dungeon | 0x0056036D [30 -442.144 0.005] 1 0 0 0
Augmentation Realm Main Level | Dungeon | 0x00560459 [335.415 -249.797 0.005] -0.707107 0 0 -0.707107
Augmentation Realm Main Level | Dungeon | 0x005604AA [400 -380 6.005] 1 0 0 0
Augmentation Realm Upper Level | Dungeon | 0x006D0413 [30 -300 0.005] 1 0 0 0
Aun Papileona's Shrine to Raeta | Dungeon | 0x028701F3 [60.1 -4.5 0] 0 0 0 -1
Auralla Settlement Portal | Dungeon | 0x46C0001B [83.189 66.832 8.005] 0.999034 0 0 -0.043942
Auroch Pasture Estates Portal | Dungeon | 0xA09C0025 [115.824 99.756 66.701] 0.97084 0 0 -0.239728
Autumn Moon Gardens Portal | Dungeon | 0x83000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Avatania Cottages Portal | Dungeon | 0x9938000B [40.481 65.073 40.005] 0.716515 0 0 -0.697572
Axefall Glen Portal | Dungeon | 0x4CA50025 [109.524 112.113 45.376] 0.344364 0 0 -0.938836
Ayan Baqur | Town | 0x1133001F [88.1 166.2 64.8] 1 0 0 0
Ayan Baqur Portal | Dungeon | 0x1133001F [88.1 166.2 64.8] 1 0 0 0
Ayn Tayan Portal | Dungeon | 0xC44E002E [126.536 125.914 29.409] 0.35981 0 0 -0.933026
Azaroth Cottages Portal | Dungeon | 0x58E80025 [98.953 104.768 6.544] 0.250667 0 0 -0.968073
Azaxis | Dungeon | 0x00B60126 [220 -42.969 -11.993] 1 0 0 0
Back Tunnels | Dungeon | 0x005502B8 [430.024 -280.138 0.005] 1 0 0 0
Bah'Ktar's Tower | Dungeon | 0x59520258 [210 -370 0.05] 1 0 0 0
Baishi | Town | 0xCE410007 [12.6 152.8 55.1] -0.544639 0 0 -0.838671
Baishi Meeting Hall Portal | Dungeon | 0x01200126 [30 -60 6] 1 0 0 0
Baishi Portal | Dungeon | 0xCE410007 [12.6 152.8 55.1] -0.544639 0 0 -0.838671
Balloon | Dungeon | 0x1133001D [82.887 118.911 100.108] 0.093874 0 0 -0.995584
Balmy Font | Dungeon | 0x01D103D3 [50 -50 0] 1 0 0 0
Banderling Camp | Dungeon | 0x9EB60029 [132 12 112.005] 0.980067 0 0 -0.198669
Banderling Conquest Dungeon | Dungeon | 0x02C80258 [330 -10 0] 0.087156 0 0 -0.996195
Banderling Conquest Dungeon | Dungeon | 0xBE5B0012 [63.5 46.8 6] 0.173648 0 0 -0.984808
Banderling Hovel | Dungeon | 0x017A0137 [29.6039 -10.1276 0] 1 0 0 0
Banderling Ruin | Dungeon | 0x01E00121 [13.0085 -27.0157 6.005] 0 0 0 -1
Banderling Shrine | Dungeon | 0x000B034F [320 -170 0] -0.707107 0 0 -0.707107
Bandit Castle | Dungeon | 0xBDD00006 [16.9 120.5 115.1] 0.707107 0 0 -0.707107
Bandit Castle | POI | 0xBDD00006 [16.9 120.5 115.1] 0.707107 0 0 -0.707107
Bandit Castle Portal | Dungeon | 0xBDD00006 [16.9 120.5 115.1] 0.707107 0 0 -0.707107
Bandit Castle Prison | Dungeon | 0x01E20231 [71.894 -20 24.005] -0.727785 0 0 -0.685806
Bandit Road Villas Portal | Dungeon | 0xB6D80003 [6.232 69.233 19.486] 0.689108 0 0 -0.724659
Banished Assembly | Dungeon | 0x001501CA [12.2668 -59.989 12.005] 0.7796 0 0 -0.626277
Baron's Domain Portal | Dungeon | 0xAED0001D [94.138 101.331 46.16] 0.691501 0 0 -0.722376
Barracks Conveyance | Dungeon | 0x6343028E [100 -90 0.005] 1 0 0 0
Base of Mt. Alphus | Dungeon | 0x94970030 [131.7 170.3 109.8] 0.96363 0 0 -0.267238
Base of Mt. Syliph | Dungeon | 0x8E8D0038 [150.4 182.5 110] -0.961262 0 0 -0.275637
Base of Mt. Zabool | Dungeon | 0x979A0036 [148.7 125.8 41.2] 0.968148 0 0 -0.25038
Base of the Cliffs Portal | Dungeon | 0x1EB30010 [34.1 188.5 0.2] 0.114071 0 0 -0.993473
Base of the Timaru Plateau Portal | Dungeon | 0x1DB60016 [71.3873 134.291 90.005] 0.707107 0 0 -0.707107
Base of the Timaru Plateau Portal | Dungeon | 0x1EB60013 [58.6 61.1 90] 0.450099 0 0 -0.892979
Basement | Dungeon | 0x61430112 [10.759 -0.022 0.005] 0.707107 0 0 -0.707107
Battlefield of Ayn Tayn | Dungeon | 0xC14B0007 [16.4 159.7 20.6] -0.766044 0 0 -0.642788
Bay of Sands Portal | Dungeon | 0x79810005 [15.782 111.462 0.717] 0.714577 0 0 -0.699557
Beach Fort | POI | 0x42DE000C [25 84.5 0.005] -0.681998 0 0 -0.731354
Beach Pass Villas Portal | Dungeon | 0xD6BA001E [93.23 124.406 42.005] -0.249096 0 0 -0.968479
Beachside | Dungeon | 0xCE9C0038 [159.6 171.5 2] 0.615662 0 0 -0.788011
Beacon Tower | Dungeon | 0x2AE2001C [84.146 84.015 23.0805] 0.714421 0 0 -0.699716
Beacon Tower Exit | Dungeon | 0x33D90009 [44.79 20.1 52.005] 1 0 0 0
Behind the Waterfall | Dungeon | 0x604401E4 [10 -90 0.005] 1 0 0 0
Bellig Mesa Cottages Portal | Dungeon | 0x9791002F [124.754 147.444 56.401] -0.210932 0 0 -0.977501
Bellig Top | Dungeon | 0x93950023 [98.4 67.7 224] 0.275637 0 0 -0.961262
Bellig Tower | Dungeon | 0x01D401B1 [61.8 -22.45 30] -0.691135 0 0 -0.722726
Bellig Tower Base | Dungeon | 0x01D40115 [40 -30 0] -0.722967 0 0 -0.690882
Bellig Tower Base | Dungeon | 0x93950015 [66.2731 104.073 114.432] 1 0 0 0
Ben Ten Lodge Portal | Dungeon | 0x8A000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Beyond the Mines of Despair | Dungeon | 0x02AB0160 [110 -10 0] 0.707107 0 0 -0.707107
Bhah Dhah Villas Portal | Dungeon | 0xA04B0040 [188.266 183.167 112.005] 0.306908 0 0 -0.951739
Binding Realm | Dungeon | 0x007F01B5 [250 -20 -22] 1 0 0 0
Black Death Catacombs Portal | Dungeon | 0x5E450377 [40 -160 72] 1 0 0 0
Black Dominion Portal | Dungeon | 0x010A0223 [0 -70 0] 0.707107 0 0 -0.707107
Black Ferah's Vault | Dungeon | 0x0073045C [81.3146 -77.9484 0.005] 0.99875 0 0 -0.049979
Black Hill | Dungeon | 0x3E310004 [11.8 93.1 238.6] -0.515038 0 0 -0.857167
Black Spawn Den | Dungeon | 0x01030375 [100 -210 0] 0.707107 0 0 -0.707107
Black Spawn Den | Dungeon | 0x01040375 [100 -210 0] 0.707107 0 0 -0.707107
Black Spawn Den | Dungeon | 0x01050375 [100 -210 0] 0.707107 0 0 -0.707107
Black Spear Summoning Chamber | Dungeon | 0x00840241 [100 -150 0.005] 1 0 0 0
Black Spear Temple | Dungeon | 0x00740528 [91.533 -58.586 0.005] 0.927875 0 0 -0.372891
Black Spear Temple Upper Levels | Dungeon | 0x007E0353 [10 -560 0.005] 1 0 0 0
Black Totem Temple | Dungeon | 0x009901E1 [110 -200 0.005] 1 0 0 0
Blackmire Edge Cottages Portal | Dungeon | 0xB95C003E [185.652 121.417 10.534] -0.79008 0 0 -0.613004
Blackmire Temple | Dungeon | 0xBB64001B [76.086 49.2145 5.555] -1 0 0 -0.000074
Blazing Wand Villas Portal | Dungeon | 0x7AA2002B [134.063 67.346 69.9] -0.833414 0 0 -0.55265
Bleached Skull Wastes Settlement Portal | Dungeon | 0x8B6D001B [79.939 57.56 10.667] -0.999993 0 0 -0.003866
Bleak Valley Portal | Dungeon | 0xB3C20023 [112.764 68.635 155.318] -0.86864 0 0 -0.495444
Blessed Cave | Dungeon | 0xF81E04C8 [88.87 107.3 -7.585] 0.340136 0 0 0.940376
Blighted Desolation Moarsman Tunnels | Dungeon | 0x00C4037C [30 -110 0.005] -0.004204 0 0 -0.999991
Blighted Disgusting Moarsman Tunnels | Dungeon | 0x00C2037C [30 -110 0] 0 0 0 -1
Blighted Grimy Moarsman Tunnels | Dungeon | 0x00C5037C [30 -110 0.005] -0.004204 0 0 -0.999991
Blighted Putrid Moarsman Tunnels | Dungeon | 0x00C3037C [30 -110 0.005] -0.004204 0 0 -0.999991
Blighted Rank Moarsman Tunnels | Dungeon | 0x00C1037C [30 -110 0.005] -0.004204 0 0 -0.999991
Blighted Verdant Moarsman Tunnels | Dungeon | 0x00C6037C [30 -110 0] 0 0 0 -1
Blightfinger's Warrens | Dungeon | 0x00D90289 [30 -217 0.005] 1 0 0 0
Bluespire | Town | 0x21B00017 [48.19 165.89 0.005] -0.083617 0 0 -0.996498
Bluewater Cottages Portal | Dungeon | 0xE1660021 [109.675 4.773 0.005] 0.895417 0 0 -0.445229
Bone Lair | Dungeon | 0x01450168 [90 -30 0] -0.707107 0 0 -0.707107
Bookcase | Dungeon | 0x005B02D9 [89.836 -140.516 15.2618] 1 0 0 0
Bookcase | Dungeon | 0x536D023B [110 -87.0563 -5.995] 1 0 0 0
Bookcase | Dungeon | 0x934B01F7 [98.8269 31.5764 -19.595] 0.999293 0 0 -0.037602
Braid Mansion Ruin | Dungeon | 0x01B70100 [-0.6 -12.77 0] 0.713923 0 0 -0.700224
Brazenn Domain Portal | Dungeon | 0x4ADB0024 [107.254 91.559 76.375] -0.999951 0 0 -0.009905
Breached Hive | Dungeon | 0x003E02F7 [18.8143 -12.6949 0.005] 0.690705 0 0 0.723137
Bretslef Cottages Portal | Dungeon | 0xADD40015 [52.689 112.856 71.009] 0.803291 0 0 -0.595587
Brigand Sands Cottages Portal | Dungeon | 0x9E330023 [97.166 51.218 46.102] -0.73524 0 0 -0.677807
Brigands Bay Settlement Portal | Dungeon | 0xA60F000D [29.156 116.995 16.753] 0.581591 0 0 -0.813482
Bright Blade Cottages Portal | Dungeon | 0x7E9F001D [85.587 102.949 93.979] 0.969061 0 0 -0.246822
Broadacre Cottages Portal | Dungeon | 0xCE700033 [158.468 52.971 41.591] -0.836621 0 0 -0.547782
Broken Haft Vale Portal | Dungeon | 0xC4D9001D [83.73 117.971 82.005] 0.429101 0 0 -0.903257
Broken Sword Bethel Settlement Portal | Dungeon | 0xAD6A003B [186.255 69.088 27.762] -0.712694 0 0 -0.701476
Bucolic Villas Portal | Dungeon | 0x92B30039 [181.326 12.571 87.721] -0.909751 0 0 -0.415154
Burial Temple Portal | Dungeon | 0x013E03FF [30.39 -146.44 0] 0 0 0 -1
Burning Tower | Dungeon | 0x070F0107 [132 108.2 218] 1 0 0 0
Burun Burrow | Dungeon | 0x624702B3 [90 -96.5802 0.005] 1 0 0 0
Burun Cathedral | Dungeon | 0x02F803FA [110 -320 0] 0.707107 0 0 -0.707107
Burun Cavern | Dungeon | 0x624A037D [60 -110 0] 1 0 0 0
Burun Hold | Dungeon | 0x017D016D [50 -210 0.005] 1 0 0 0
Cactus Acres Portal | Dungeon | 0x9E74001A [76.837 37.509 26.476] 0.996512 0 0 -0.083452
Caerlin Cottages Portal | Dungeon | 0x41C4001C [90.298 89.079 14.48] 0.589083 0 0 -0.808072
Caerlin Dormitory Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Caerna Dwellings | Dungeon | 0x536101D9 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Caliginous Bethel | Dungeon | 0x63480313 [100 -200 0.3] 1 0 0 0
Camp Entemarre | Dungeon | 0x004901B0 [50 -10 0.004999] 0.707107 0 0 -0.707107
Candeth Court Portal | Dungeon | 0x91000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Candeth Keep | Town | 0x2B120029 [120.642 1.549 10.112] 0.087156 0 0 -0.996195
Cannibal Caverns | Dungeon | 0x002202F2 [230 -10 -5.995] 0 0 0 -1
Cape Feirgard Cottages Portal | Dungeon | 0xD1A50029 [134.538 18.162 4.609] -0.966683 0 0 -0.255977
Carved Cave Portal | Dungeon | 0x018F025C [70.548 -77.66 0] -0.052292 0 0 -0.998632
Castle of Baron Nuvillus | Dungeon | 0xDF600017 [71.1825 152.756 16.7346] 1 0 0 0
Castle Pietrus | Dungeon | 0x4198012E [165.336 81.863 135.205] 0.999996 0 0 -0.002646
Catacombs | Dungeon | 0x5754012D [0 -30 0.00499] 1 0 0 0
Catacombs | Dungeon | 0x5754014B [0 -130 0.00499] 1 0 0 0
Catacombs | Dungeon | 0x5754014B [110 -112.5 0.006] 1 0 0 0
Catacombs | Dungeon | 0x575401D0 [30 -80 0.00499] 1 0 0 0
Catacombs | Dungeon | 0x57540261 [80 -130 0.00499] 1 0 0 0
Catacombs | Dungeon | 0x57540264 [99.9512 -2.4599 0.006] 0.0424 0 0 0.99
Catacombs | Dungeon | 0x57540278 [99.9854 -60.0533 0.006] 1 0 0 0
Catacombs of Ithaenc Portal | Dungeon | 0x02B702F1 [70 -60 0] 1 0 0 0
Catacombs of Opposition | Dungeon | 0x5E4604DD [210 -100 0.005] 1 0 0 0
Catacombs of the Forgotten | Dungeon | 0xA895001A [73.7672 24.0618 83.8474] 1 0 0 0
Catacombs of the Forgotten Portal | Dungeon | 0x02E602AF [70 -110 0] 1 0 0 0
Catacombs of Torment | Dungeon | 0x59540817 [360 -170 0.005] 1 0 0 0
Cataracts of Sabella | Dungeon | 0x22E60029 [132 12 117.005] 1 0 0 0
Cathedral Ruins Portal | Dungeon | 0xF418000B [36 60 191] 1 0 0 0
Cathedral Wedding Portal | Dungeon | 0xF618000C [40 89 182] -0.766044 0 0 -0.642788
Caul Asylum | Dungeon | 0x6045026F [60 -100 0.005] 1 0 0 0
Caul Athenaeum | Dungeon | 0x60460103 [50 -40 0.005] 1 0 0 0
Caul Oasis | Dungeon | 0x0D070014 [63.685 84.12 52.314] -0.707107 0 0 -0.707107
Caul Sanatorium | Dungeon | 0x604703D0 [72.7422 -51.8616 6.005] 1 0 0 0
Caul Sanatorium | Dungeon | 0x60480225 [100 -110 0.005] 1 0 0 0
